Student_ID,Semester,Age,Gender,Attendance_Percentage,Previous_CGPA,Internal_Marks,Assignment_Completion,Study_Hours_Per_Week,Backlogs,Stress_Level,Motivation_Level,Sleep_Hours,Family_Support,Internet_Access,Extracurricular,Financial_Difficulty,Mental_Wellbeing,Screen_Time_Hours,Commute_Time_Minutes,Academic_Risk
S00001,1,21,Male,79,6.34,86,43,8,2,4,6,7.6,Yes,Yes,No,No,7,6.9,21,0
S00002,1,22,Female,80,7.4,66,66,19,0,2,6,6.5,Yes,Yes,Yes,No,6,3.8,15,0
S00003,6,17,Female,91,6.21,52,83,17,0,6,3,5.8,No,Yes,No,Yes,7,3.9,36,0
S00004,6,22,Female,92,6.03,50,95,24,1,5,4,9.5,Yes,Yes,No,Yes,1,5.0,57,0
S00005,4,24,Male,86,8.32,57,88,22,1,8,6,5.8,Yes,Yes,No,No,1,5.3,26,0
S00006,1,23,Male,61,6.75,83,77,16,0,3,5,8.2,Yes,No,Yes,No,6,7.3,58,0
S00007,2,17,Female,71,7.06,51,41,16,0,8,9,5.4,No,Yes,Yes,Yes,5,4.6,18,1
S00008,8,21,Female,78,6.95,39,70,11,0,2,5,5.4,Yes,Yes,Yes,Yes,9,4.6,53,0
S00009,2,20,Male,79,4.89,81,76,16,3,7,7,8.2,No,Yes,No,No,9,5.1,37,0
S00010,8,22,Female,97,6.12,88,63,27,1,1,2,6.1,Yes,Yes,Yes,No,8,6.6,21,0
S00011,4,24,Female,80,6.53,84,74,19,1,3,7,8.6,Yes,Yes,Yes,No,4,2.8,34,0
S00012,1,23,Male,69,6.72,45,81,13,0,1,7,6.0,No,Yes,No,No,5,5.2,40,0
S00013,2,17,Female,67,5.69,65,75,18,0,7,2,7.2,Yes,Yes,No,No,9,4.9,60,0
S00014,1,22,Female,81,9.48,78,64,21,0,5,6,6.5,Yes,Yes,No,No,4,6.3,57,0
S00015,8,20,Female,72,7.11,55,60,17,0,7,4,5.4,Yes,Yes,Yes,No,8,4.4,33,0
S00016,3,20,Male,100,6.77,70,87,13,1,3,6,9.0,Yes,Yes,No,No,6,7.0,27,0
S00017,5,22,Male,58,7.02,73,55,7,1,6,5,6.9,No,Yes,Yes,No,6,5.3,25,1
S00018,2,24,Female,75,7.13,57,73,18,4,7,8,6.8,Yes,Yes,No,No,3,5.9,44,0
S00019,8,19,Male,89,8.87,66,82,16,2,5,7,7.3,Yes,Yes,Yes,No,6,6.0,22,0
S00020,4,20,Female,74,7.71,64,61,11,0,5,6,6.3,Yes,Yes,No,Yes,5,8.7,6,0
S00021,5,23,Female,73,7.62,66,77,13,2,6,2,6.7,Yes,Yes,Yes,No,5,7.6,9,0
S00022,4,23,Male,84,8.84,54,84,9,0,3,5,6.8,No,Yes,Yes,Yes,6,5.9,44,0
S00023,2,21,Male,81,6.93,80,79,19,2,3,4,6.3,Yes,No,Yes,No,5,3.3,9,0
S00024,5,24,Male,100,7.27,44,46,8,1,8,4,7.4,No,Yes,Yes,Yes,5,7.6,35,1
S00025,2,19,Female,59,8.1,60,84,17,0,3,5,8.2,Yes,Yes,Yes,No,6,2.2,0,0
S00026,3,21,Female,83,6.7,71,80,26,2,6,5,7.5,No,Yes,No,No,6,4.7,0,0
S00027,6,18,Male,80,7.37,57,71,25,1,6,8,8.1,No,Yes,No,No,7,4.9,45,0
S00028,7,23,Male,85,7.6,58,53,17,1,4,8,6.6,No,Yes,No,No,4,8.8,56,0
S00029,1,19,Male,61,7.66,50,50,8,1,5,3,6.3,Yes,Yes,No,No,4,4.9,45,1
S00030,6,17,Male,66,7.26,61,80,23,2,7,7,8.0,Yes,Yes,Yes,No,5,5.8,62,0
S00031,8,22,Female,93,6.61,42,94,16,2,3,7,6.9,No,Yes,No,Yes,9,6.5,30,0
S00032,3,23,Male,81,4.95,48,73,16,0,3,4,6.3,Yes,Yes,Yes,No,10,7.0,21,0
S00033,1,23,Female,67,4.29,67,76,33,1,2,8,8.0,Yes,Yes,No,No,5,4.5,7,0
S00034,1,19,Male,73,6.59,62,56,14,0,9,4,6.5,Yes,Yes,Yes,No,10,6.3,42,0
S00035,1,24,Female,66,7.96,72,64,16,3,4,5,7.9,Yes,Yes,Yes,Yes,7,5.9,42,0
S00036,2,23,Female,89,6.69,65,76,30,2,6,5,7.6,Yes,Yes,No,Yes,3,3.3,43,0
S00037,1,20,Female,74,8.03,62,93,16,3,7,6,7.3,Yes,Yes,No,No,7,6.7,54,0
S00038,6,24,Female,52,7.75,39,90,21,1,4,6,8.1,Yes,Yes,Yes,Yes,3,8.4,45,1
S00039,8,21,Male,79,6.53,37,70,5,2,6,6,7.8,Yes,Yes,Yes,No,6,9.1,72,1
S00040,5,23,Male,83,7.93,73,100,12,2,8,7,8.3,Yes,Yes,Yes,No,4,4.9,24,0
S00041,1,18,Male,86,7.4,77,92,24,4,2,5,6.8,No,Yes,Yes,No,6,6.8,48,0
S00042,7,17,Female,73,8.29,43,51,18,1,4,2,3.8,Yes,No,Yes,No,5,6.0,77,1
S00043,2,18,Female,65,5.97,44,75,21,0,1,4,7.1,Yes,Yes,No,Yes,3,5.1,49,1
S00044,3,20,Male,96,7.3,85,86,17,0,2,6,6.0,Yes,Yes,Yes,No,6,2.4,47,0
S00045,8,21,Male,73,6.01,52,100,15,2,6,5,6.4,Yes,Yes,Yes,No,5,4.5,43,0
S00046,3,22,Male,74,5.38,79,50,15,3,4,6,7.8,No,Yes,Yes,No,5,3.7,9,1
S00047,4,24,Male,74,6.49,83,71,18,0,5,5,5.7,Yes,Yes,Yes,No,6,6.0,46,0
S00048,3,20,Male,82,7.98,56,86,9,2,8,5,6.6,Yes,Yes,No,No,6,7.1,45,0
S00049,7,21,Female,64,6.86,80,78,7,1,6,7,8.0,Yes,Yes,No,Yes,4,5.6,38,1
S00050,2,18,Female,64,6.9,63,66,18,1,3,4,6.9,Yes,Yes,Yes,No,7,5.1,57,0
S00051,3,23,Female,82,7.65,90,67,18,0,4,6,6.8,Yes,Yes,No,No,4,5.0,2,0
S00052,2,19,Male,92,4.62,78,51,15,2,4,8,6.6,Yes,Yes,No,No,8,3.6,33,0
S00053,8,24,Male,73,6.71,65,77,8,2,4,4,8.2,Yes,Yes,Yes,No,6,7.6,23,0
S00054,7,20,Male,100,8.34,50,59,29,1,4,4,7.4,Yes,Yes,No,No,4,3.8,30,0
S00055,7,19,Female,81,7.9,50,69,13,0,3,6,5.1,Yes,Yes,No,No,6,4.5,41,0
S00056,2,19,Female,63,5.39,71,100,13,1,2,5,5.3,Yes,Yes,Yes,No,5,4.8,28,1
S00057,2,24,Male,72,6.34,90,48,19,2,1,5,7.3,Yes,Yes,Yes,No,7,6.7,43,0
